time,open,high,low,close,EMA,Smoothing Line,EMA,Smoothing Line,Volume,Volume MA
2022-08-24T11:55:00-04:00,412.98,413.12,412.275,412.53,404.503728995613,404.129728687147,404.7604113335002,404.37638797404367,1171,637.8
2022-08-24T12:00:00-04:00,412.7,413.78,412.7,413.57,404.69870256559983,404.32190656484283,404.96062925773884,404.57387915645177,227,631
2022-08-24T12:05:00-04:00,413.66,414.62,413.66,414.17,404.9023863813934,404.5140806172118,405.1699331382448,404.77124553925967,1058,808.2
2022-08-24T12:10:00-04:00,414.115,414.35,413.98,414.07,405.0995393624387,404.70633694802444,405.37220738510285,404.9685808679129,69,684.6
2022-08-24T12:15:00-04:00,414.06,415,413.89,414.46,405.30083959120344,404.9010393792497,405.5787481263505,405.16838584818754,795,664
2022-08-24T12:20:00-04:00,413.67,413.67,412.9,413.49,405.4769505677367,405.09568369367446,405.7585493052971,405.36801344254695,95,448.8
2022-08-24T12:25:00-04:00,413.58,413.86,413.58,413.63,405.6522849641295,405.2864001733804,405.93744591199487,405.56337677339815,209,445.2
2022-08-24T12:30:00-04:00,413.47,413.65,413.16,413.33,405.8173971154385,405.46940232018943,406.10545850490405,405.75048184673,339,301.4
2022-08-24T12:35:00-04:00,412.84,412.99,412.55,412.57,405.96261438177316,405.6420173240564,406.25237990251986,405.9265163502134,69,301.4
2022-08-24T12:40:00-04:00,412.31,412.5,411.82,411.82,406.0885796638856,405.79956533859274,406.37891672291715,406.08655006952677,424,227.2
2022-08-24T12:45:00-04:00,411.7,411.95,411.68,411.79,406.21119085390956,405.94641339582734,406.5018958883054,406.2352193861284,329,274
2022-08-24T12:50:00-04:00,411.71,411.95,411.45,411.45,406.32385341619107,406.0807270862396,406.6143527999348,406.3706007637164,184,269
2022-08-24T12:55:00-04:00,411.39,412.37,411.39,412.34,406.45323291261707,406.2078942456754,406.7444811453908,406.49840529181375,725,346.2
2022-08-24T13:00:00-04:00,412.32,412.61,412.22,412.55,406.58434618331347,406.33224060598343,406.87642475572284,406.6232142624543,491,430.6
2022-08-24T13:05:00-04:00,412.95,413.06,412.55,413.06,406.7236075557153,406.45924618434935,407.01696055672915,406.7508230292167,272,400.2
2022-08-24T13:10:00-04:00,412.62,413,412.55,412.61,406.8501966405386,406.5870473416752,407.14407508953076,406.87925886946175,431,420.6
2022-08-24T13:15:00-04:00,412.94,412.94,412.49,412.51,406.97191284181736,406.71665922680046,407.26602792840504,407.0095938951558,138,411.4
2022-08-24T13:20:00-04:00,412.21,412.55,411.85,411.85,407.07681794199334,406.8413762326757,407.3702091118504,407.13473948844774,212,308.8
2022-08-24T13:25:00-04:00,411.94,412.26,411.8,412.04,407.183553040015,406.96121760401604,407.4763407229447,407.2547226818921,747,360
2022-08-24T13:30:00-04:00,411.85,411.85,411.3,411.58,407.27810028646627,407.0721161501662,407.56960570651415,407.36525171184906,578,421.2
2022-08-24T13:35:00-04:00,411.42,412.29,411.14,412.29,407.38588307600463,407.1792534372594,407.6768873950025,407.4718141729434,624,459.8
2022-08-24T13:40:00-04:00,411.95,412.23,411.9,412.23,407.49005763350993,407.28288239559794,407.78036722693423,407.57468203264926,450,522.2
2022-08-24T13:45:00-04:00,412.21,412.3,412.07,412.3,407.5934972542947,407.3862182580582,407.88308615359483,407.6772574409981,453,570.4
2022-08-24T13:50:00-04:00,412.39,412.79,412.39,412.64,407.7020241950625,407.4899124890677,407.99119783192225,407.7802288627936,241,469.2
2022-08-24T13:55:00-04:00,412.72,412.81,412.64,412.64,407.80821722312567,407.59593587639955,408.0968524266513,407.885678206821,66,366.8
2022-08-24T14:00:00-04:00,412.71,412.71,412.46,412.71,407.9136319064993,407.7014856424985,408.20169668968197,407.99064006575696,145,271
2022-08-24T14:05:00-04:00,412.29,412.78,412.29,412.78,408.01828498377887,407.80713111255227,408.30574903764375,408.0957164278989,208,222.6
2022-08-24T14:10:00-04:00,412.53,412.53,412.53,412.53,408.11531111316,407.9114938843253,408.40175474133366,408.19945014544663,101,152.2
2022-08-24T14:15:00-04:00,412.36,412.36,412.24,412.25,408.2042291537372,408.0119348760602,408.4892148608488,408.2990535512319,5,105
2022-08-24T14:20:00-04:00,412.2,412.41,412.04,412.41,408.29467583860304,408.1092265991557,408.5783236140113,408.39534778870393,750,241.8
2022-08-24T14:25:00-04:00,412.3,412.43,411.56,412.43,408.3836075409987,408.2032217260556,408.6658617136929,408.4881807935061,601,333
2022-08-24T14:30:00-04:00,412.51,412.51,412.12,412.12,408.4639600669987,408.29235674269955,408.7443648565635,408.5759039572901,481,387.6
2022-08-24T14:35:00-04:00,412.08,412.47,411.85,412.47,408.55011146340735,408.379316812749,408.82903838255066,408.6613606855335,517,470.8
