time,open,high,low,close,Volume,Volume MA
2008-05-06T09:30:00-04:00,14.43,14.6,14.15,14.37,80921,513765
2008-05-07T09:30:00-04:00,14.41,15,14.4,14.5,149035,397943.8
2008-05-08T09:30:00-04:00,14.53,14.53,13.95,14.35,131933,256817
2008-05-09T09:30:00-04:00,14.07,14.24,13.95,14.21,167378,206039.4
2008-05-12T09:30:00-04:00,14.28,14.76,13.75,14.27,295415,164936.4
2008-05-13T09:30:00-04:00,14.28,14.75,14.28,14.6,132121,175176.4
2008-05-14T09:30:00-04:00,14.59,15,14.59,14.69,146938,174757
2008-05-15T09:30:00-04:00,14.67,15.06,14.61,14.92,447553,237881
2008-05-16T09:30:00-04:00,14.91,15.07,14.52,14.62,217679,247941.2
2008-05-19T09:30:00-04:00,14.59,14.66,14.11,14.16,192086,227275.4
2008-05-20T09:30:00-04:00,14.05,14.19,13.76,13.92,213939,243639
2008-05-21T09:30:00-04:00,13.95,14.35,13.83,14.34,290060,272263.4
2008-05-22T09:30:00-04:00,14.32,14.32,14.04,14.29,266750,236102.8
2008-05-23T09:30:00-04:00,14.19,14.19,13.29,13.76,159596,224486.2
2008-05-27T09:30:00-04:00,13.75,14.5,13.5,14.37,154860,217041
2008-05-28T09:30:00-04:00,14.38,15,14.3,14.99,309937,236240.6
2008-05-29T09:30:00-04:00,15,15,14.56,14.9,370241,252276.8
2008-05-30T09:30:00-04:00,14.98,15.08,14.2581,14.26,544751,307877
2008-06-02T09:30:00-04:00,14.39,14.41,13.89,14.29,228449,321647.6
2008-06-03T09:30:00-04:00,14.3,14.55,13.94,13.98,317651,354205.8
2008-06-04T09:30:00-04:00,13.77,14,13.32,13.33,256906,343599.6
2008-06-05T09:30:00-04:00,14.83,14.9699,13.8,14.31,600723,389696
2008-06-06T09:30:00-04:00,14.18,14.26,13.68,13.84,305604,341866.6
2008-06-09T09:30:00-04:00,13.85,13.85,13.25,13.35,231120,342400.8
2008-06-10T09:30:00-04:00,13.29,14.17,13.27,14.02,255860,330042.6
2008-06-11T09:30:00-04:00,13.97,14.05,13.03,13.08,242056,327072.6
2008-06-12T09:30:00-04:00,13.18,13.58,12.4,12.58,235447,254017.4
2008-06-13T09:30:00-04:00,12.69,13.08,12.59,12.95,141557,221208
2008-06-16T09:30:00-04:00,12.93,13.49,12.72,13.45,148229,204629.8
2008-06-17T09:30:00-04:00,13.48,13.66,12.97,13.05,154000,184257.8
2008-06-18T09:30:00-04:00,12.91,12.91,12.17,12.22,141963,164239.2
2008-06-19T09:30:00-04:00,12.22,12.5,12.17,12.23,163385,149826.8
2008-06-20T09:30:00-04:00,12.43,13.18,12.43,12.66,367334,194982.2
2008-06-23T09:30:00-04:00,12.71,12.83,11.54,11.58,252117,215759.8
2008-06-24T09:30:00-04:00,11.52,12.27,11.44,11.62,223504,229660.6
2008-06-25T09:30:00-04:00,11.63,11.67,11.0793,11.29,281087,257485.4
2008-06-26T09:30:00-04:00,11.22,11.22,10.33,10.49,621993,349207
2008-06-27T09:30:00-04:00,10.45,11.2704,10.35,11.27,2011308,678001.8
2008-06-30T09:30:00-04:00,11.24,11.61,10.91,11.24,1094138,846406
2008-07-01T09:30:00-04:00,11.1,11.35,10.93,11.3,1346486,1071002.4
2008-07-02T09:30:00-04:00,11.28,11.3,10.76,10.79,198407,1054466.4
2008-07-03T09:30:00-04:00,10.81,10.81,10.08,10.08,130323,956132.4
2008-07-07T09:30:00-04:00,10.16,10.3,9.53,9.62,312945,616459.8
2008-07-08T09:30:00-04:00,9.6,10.08,9.42,10.05,325129,462658
2008-07-09T09:30:00-04:00,10.07,10.3,9.72,9.75,456908,284742.4
2008-07-10T09:30:00-04:00,9.75,10.05,9.72,9.75,249463,294953.6
2008-07-11T09:30:00-04:00,9.64,9.65,9.21,9.44,794420,427773
2008-07-14T09:30:00-04:00,9.73,9.73,9.45,9.57,184388,402061.6
2008-07-15T09:30:00-04:00,9.45,9.7199,9.02,9.59,335417,404119.2
2008-07-16T09:30:00-04:00,9.65,10.14,9.49,10,569211,426579.8
2008-07-17T09:30:00-04:00,10.02,10.49,9.87,10.35,803520,537391.2
2008-07-18T09:30:00-04:00,10.36,10.36,9.74,9.89,582745,495056.2
